,titleId,title,averageRating,numVotes
426,tt0001216,The Final Settlement,4.6,8
427,tt0001217,A Flash of Light,5.8,50
428,tt0001218,L'épée du spirite,5.3,83
429,tt0001223,Frankenstein,6.4,3720
430,tt0001227,The Fugitive,5.8,199
431,tt0001235,A Gold Necklace,5.0,23
432,tt0001237,The Golden Supper,4.7,32
433,tt0001245,Her Terrible Ordeal,5.7,46
434,tt0001256,The House with Closed Shutters,5.9,469
435,tt0001258,Den hvide slavehandel,5.8,96
436,tt0001265,In the Border States,6.4,462
437,tt0001280,København ved Nat,4.7,19
438,tt0001284,The Lesson,5.1,27
439,tt0001285,The Life of Moses,5.3,28
440,tt0001292,Love Among the Roses,4.9,39
441,tt0001299,Macbeth,4.2,8
442,tt0001306,Le marchand d'images,4.2,6
443,tt0001314,Il mercante di Venezia,5.8,141
444,tt0001321,The Cowboy Millionaire,5.1,29
445,tt0001326,The Modern Prodigal,5.7,38
446,tt0001330,"A Mother's Devotion; or, The Firing of the Patchwork Quilt",6.2,21
447,tt0001332,Muggsy Becomes a Hero,5.4,14
448,tt0001337,The Newlyweds,5.8,31
449,tt0001338,"Maiskaya noch, ili utoplennitsa",5.3,6
450,tt0001340,The Oath and the Man,5.1,77
451,tt0001351,Over Silent Paths,6.2,42
452,tt0001358,Peder Tordenskjold,4.2,14
453,tt0001371,Ramona,6.0,358
454,tt0001377,Re Lear,4.8,20
455,tt0001378,Re Lear,5.9,189
456,tt0001380,Regina von Emmeritz och konung Gustaf II Adolf,3.2,6
457,tt0001381,En rekrut fra 64,5.6,25
458,tt0001386,Le roi des parfums,4.6,7
459,tt0001388,Rose o' Salem Town,5.7,63
460,tt0001396,Simple Charity,2.9,7
461,tt0001400,The Song of the Wildwood Flute,5.9,9
462,tt0001423,A Woman's Treachery,4.1,10
463,tt0001428,The Two Brothers,5.2,34
464,tt0001431,The Unchanging Sea,6.4,643
465,tt0001432,Uncle Tom's Cabin,5.4,16
466,tt0001439,The Usurer,5.9,216
467,tt0001444,Värmlänningarne,3.3,19
468,tt0001452,What the Daisy Said,5.3,158
469,tt0001454,When We Were in Our Teens,5.4,17
470,tt0001456,White Roses,8.5,8
471,tt0001458,Wilful Peggy,5.9,140
472,tt0001459,Winning Back His Love,5.5,41
473,tt0001463,The Wonderful Wizard of Oz,5.7,1386
474,tt0001475,Amor fatal,7.5,13
475,tt0001488,Les Aventures du baron de Münchhausen,6.3,405
476,tt0001496,The Baron,4.2,39
477,tt0001497,The Battle of Bunker Hill,6.5,6
478,tt0001498,The Battle of Trafalgar,7.7,6
479,tt0001499,The Battle,5.6,271
480,tt0001500,Bedraget i døden,5.7,6
481,tt0001508,The Blind Princess and the Poet,5.0,13
482,tt0001527,Mest kinematograficheskogo operatora,7.7,2562
483,tt0001529,Captain Kate,4.5,11
484,tt0001530,"Captain Midnight, the Bush King",6.0,9
485,tt0001531,"Captain Starlight, or Gentleman of the Road",4.6,7
486,tt0001532,Carmen o la hija del contrabandista,4.7,9
487,tt0001544,A Christmas Carol,6.0,593
488,tt0001545,Cinderella,6.1,104
489,tt0001583,La digue,5.6,10
490,tt0001592,Ekspeditricen,5.3,6
491,tt0001593,Enoch Arden: Part I,6.3,302
492,tt0001594,Enoch Arden: Part II,6.4,265
493,tt0001614,De fire djævle,6.0,18
494,tt0001624,For aabent Tæppe,4.9,38
495,tt0001630,Der fremde Vogel,5.7,17
496,tt0001654,Heart Beats of Long Ago,5.5,25
497,tt0001658,Henry VIII,5.2,12
498,tt0001659,Her Awakening,6.6,8
499,tt0001660,Her Crowning Glory,5.6,175
500,tt0001671,His Daughter,5.1,22
501,tt0001680,His Trust: The Faithful Devotion and Self-Sacrifice of an Old Negro Servant,5.1,525
502,tt0001681,His Trust Fulfilled,4.9,226
503,tt0001692,Im großen Augenblick,5.3,7
504,tt0001693,The Immortal Alamo,7.1,11
505,tt0001695,In Old Madrid,4.7,42
506,tt0001696,In the Days of '49,3.7,6
507,tt0001715,Julius Caesar,3.1,7
508,tt0001717,Järnbäraren,3.4,14
509,tt0001724,The Last Drop of Water,5.9,219
510,tt0001737,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",7.0,1531
511,tt0001738,Little Red Riding Hood,7.2,23
512,tt0001740,The Lonedale Operator,6.5,1062
513,tt0001741,The Long Road,4.4,13
514,tt0001742,Lost Illusions,5.7,6
515,tt0001747,Lost in the Jungle,4.8,13
516,tt0001761,Macbeth,4.3,6
517,tt0001762,Madame Babylas aime les animaux,4.8,56
518,tt0001771,The Manicure Lady,5.4,122
519,tt0001772,A Manly Man,5.6,7
520,tt0001776,Max victime du quinquina,6.7,170
521,tt0001777,The Meeting of the Ways,5.3,7
522,tt0001789,The Miser's Heart,6.4,228
523,tt0001790,Les misérables - Époque 1: Jean Valjean,6.0,18
524,tt0001799,Moïse sauvé des eaux,4.7,10
525,tt0001815,On the Brink,6.9,17
526,tt0001845,Pulgarcito,5.1,7
527,tt0001852,Rédemption,4.9,8
528,tt0001857,Richard III,5.6,190
529,tt0001862,The Romantic Story of Margaret Catchpole,5.4,31
530,tt0001868,Le sacrifice d'Abraham,5.4,8
531,tt0001871,Saved from Himself,4.7,38
532,tt0001892,Den sorte drøm,5.8,191
533,tt0001896,The Squaw's Love,5.2,52
534,tt0001910,Sweet Memories,5.5,51
535,tt0001911,Sweet Nell of Old Drury,5.0,7
536,tt0001913,Swords and Hearts,5.6,189
537,tt0001915,A Tale of Two Cities,5.8,88
538,tt0001923,Their First Misunderstanding,7.2,16
539,tt0001926,The Three Musketeers: Part 2,4.5,6
540,tt0001941,Troublesome Secretaries,5.1,68
541,tt0001957,Under forvandlingens lov,4.9,45
542,tt0001963,Ved Fængslets Port,5.4,122
543,tt0001964,Die Verräterin,6.0,59
544,tt0001967,La vie telle qu'elle est,5.9,8
545,tt0001973,What Shall We Do with Our Old?,6.1,240
546,tt0001978,When a Man Loves,5.8,12
547,tt0001993,L'électrocuté,4.0,10
548,tt0001998,The Adventures of Lieutenant Petrosino,4.4,19
549,tt0002020,Les amours de la reine Élisabeth,4.8,104
550,tt0002026,Anny - en gatepiges roman,4.0,6
551,tt0002029,Die arme Jenny,6.0,41
552,tt0002031,As You Like It,4.8,9
